star,year,award
 Christian Bale ,2011,Oscar
 John Hawkes ,2011,Oscar
 Jeremy Renner ,2011,Oscar
 Mark Ruffalo ,2011,Oscar
 Geoffrey Rush ,2011,Oscar
 Natalie Portman ,2011,Oscar
 Annette Bening ,2011,Oscar
 Nicole Kidman ,2011,Oscar
 Jennifer Lawrence ,2011,Oscar
 Michelle Williams ,2011,Oscar
 Melissa Leo ,2011,Oscar
 Amy Adams ,2011,Oscar
 Helena Bonham Carter ,2011,Oscar
 Hailee Steinfeld ,2011,Oscar
 Jacki Weaver ,2011,Oscar
 Jean Dujardin ,2012,Oscar
 A Better Life ,2012,Oscar
 George Clooney ,2012,Oscar
 Gary Oldman ,2012,Oscar
 Brad Pitt ,2012,Oscar
 Christopher Plummer ,2012,Oscar
 Kenneth Branagh ,2012,Oscar
 Jonah Hill ,2012,Oscar
 Nick Nolte ,2012,Oscar
 Max von Sydow ,2012,Oscar
 Meryl Streep ,2012,Oscar
 Glenn Close ,2012,Oscar
 Viola Davis ,2012,Oscar
 Rooney Mara ,2012,Oscar
 Michelle Williams ,2012,Oscar
 Octavia Spencer ,2012,Oscar
 Bérénice Bejo ,2012,Oscar
 Jessica Chastain ,2012,Oscar
 Melissa McCarthy ,2012,Oscar
 Janet McTeer ,2012,Oscar
 Daniel Day-Lewis ,2013,Oscar
 Bradley Cooper ,2013,Oscar
 Hugh Jackman ,2013,Oscar
 Joaquin Phoenix ,2013,Oscar
 Denzel Washington ,2013,Oscar
 Christoph Waltz ,2013,Oscar
 Alan Arkin ,2013,Oscar
 Robert De Niro ,2013,Oscar
 Philip Seymour Hoffman ,2013,Oscar
 Tommy Lee Jones ,2013,Oscar
 Jennifer Lawrence ,2013,Oscar
 Jessica Chastain ,2013,Oscar
 Emmanuelle Riva ,2013,Oscar
 Quvenzhané Wallis ,2013,Oscar
 Naomi Watts ,2013,Oscar
 Anne Hathaway ,2013,Oscar
 Amy Adams ,2013,Oscar
 Sally Field ,2013,Oscar
 Helen Hunt ,2013,Oscar
 Jacki Weaver ,2013,Oscar
 Matthew McConaughey ,2014,Oscar
 Christian Bale ,2014,Oscar
 Bruce Dern ,2014,Oscar
 Leonardo DiCaprio ,2014,Oscar
 Chiwetel Ejiofor ,2014,Oscar
 Jared Leto ,2014,Oscar
 Barkhad Abdi ,2014,Oscar
 Bradley Cooper ,2014,Oscar
 Michael Fassbender ,2014,Oscar
 Jonah Hill ,2014,Oscar
 Cate Blanchett ,2014,Oscar
 Amy Adams ,2014,Oscar
 Sandra Bullock ,2014,Oscar
 Judi Dench ,2014,Oscar
 Meryl Streep ,2014,Oscar
 Lupita Nyong'o ,2014,Oscar
 Sally Hawkins ,2014,Oscar
 Jennifer Lawrence ,2014,Oscar
 Julia Roberts ,2014,Oscar
 June Squibb ,2014,Oscar
 Eddie Redmayne  ,2015,Oscar
 Steve Carell  ,2015,Oscar
 Bradley Cooper  ,2015,Oscar
 Benedict Cumberbatch  ,2015,Oscar
 Michael Keaton  ,2015,Oscar
 J.K. Simmons  ,2015,Oscar
 Robert Duvall  ,2015,Oscar
 Ethan Hawke  ,2015,Oscar
 Edward Norton  ,2015,Oscar
 Mark Ruffalo ,2015,Oscar
 Julianne Moore  ,2015,Oscar
 Marion Cotillard  ,2015,Oscar
 Felicity Jones  ,2015,Oscar
 Rosamund Pike  ,2015,Oscar
 Reese Witherspoon  ,2015,Oscar
 Patricia Arquette  ,2015,Oscar
 Laura Dern  ,2015,Oscar
 Keira Knightley  ,2015,Oscar
 Emma Stone  ,2015,Oscar
 Meryl Streep  ,2015,Oscar
 Leonardo DiCaprio ,2016,Oscar
 Bryan Cranston ,2016,Oscar
 Matt Damon ,2016,Oscar
 Michael Fassbender ,2016,Oscar
 Eddie Redmayne  ,2016,Oscar
 Mark Rylance ,2016,Oscar
 Christian Bale ,2016,Oscar
 Tom Hardy ,2016,Oscar
 Mark Ruffalo ,2016,Oscar
 Sylvester Stallone ,2016,Oscar
 Brie Larson ,2016,Oscar
 Cate Blanchett ,2016,Oscar
 Jennifer Lawrence ,2016,Oscar
 Charlotte Rampling ,2016,Oscar
 Saoirse Ronan ,2016,Oscar
 Alicia Vikander ,2016,Oscar
 Jennifer Jason Leigh ,2016,Oscar
 Rooney Mara ,2016,Oscar
 Rachel McAdams ,2016,Oscar
 Kate Winslet ,2016,Oscar
 Casey Affleck ,2017,Oscar
 Andrew Garfield ,2017,Oscar
 Ryan Gosling ,2017,Oscar
 Viggo Mortensen ,2017,Oscar
 Denzel Washington ,2017,Oscar
 Mahershala Ali ,2017,Oscar
 Jeff Bridges ,2017,Oscar
 Lucas Hedges ,2017,Oscar
 Dev Patel ,2017,Oscar
 Michael Shannon ,2017,Oscar
 Emma Stone ,2017,Oscar
 Isabelle Huppert ,2017,Oscar
 Ruth Negga ,2017,Oscar
 Natalie Portman ,2017,Oscar
 Meryl Streep ,2017,Oscar
 Viola Davis ,2017,Oscar
 Naomie Harris ,2017,Oscar
 Nicole Kidman ,2017,Oscar
 Octavia Spencer ,2017,Oscar
 Michelle Williams ,2017,Oscar
 Gary Oldman ,2018,Oscar
 Timothée Chalamet ,2018,Oscar
 Daniel Day-Lewis ,2018,Oscar
 Daniel Kaluuya ,2018,Oscar
 Denzel Washington ,2018,Oscar
 Sam Rockwell ,2018,Oscar
 Willem Dafoe ,2018,Oscar
 Woody Harrelson ,2018,Oscar
 Richard Jenkins ,2018,Oscar
 Christopher Plummer ,2018,Oscar
 Frances McDormand ,2018,Oscar
 Sally Hawkins ,2018,Oscar
 Margot Robbie ,2018,Oscar
 Saoirse Ronan ,2018,Oscar
 Meryl Streep ,2018,Oscar
 Allison Janney ,2018,Oscar
 Mary J. Blige ,2018,Oscar
 Lesley Manville ,2018,Oscar
 Laurie Metcalf ,2018,Oscar
 Octavia Spencer ,2018,Oscar
 Rami Malek ,2019,Oscar
 Christian Bale ,2019,Oscar
 Bradley Cooper ,2019,Oscar
 Willem Dafoe ,2019,Oscar
 Viggo Mortensen ,2019,Oscar
 Mahershala Ali ,2019,Oscar
 Adam Driver ,2019,Oscar
 Sam Elliott ,2019,Oscar
 Richard E. Grant ,2019,Oscar
 Sam Rockwell ,2019,Oscar
 Olivia Colman ,2019,Oscar
 Yalitza Aparicio ,2019,Oscar
 Glenn Close ,2019,Oscar
 Lady Gaga ,2019,Oscar
 Melissa McCarthy ,2019,Oscar
 Regina King ,2019,Oscar
 Amy Adams ,2019,Oscar
 Marina de Tavira ,2019,Oscar
 Emma Stone ,2019,Oscar
 Rachel Weisz ,2019,Oscar
 Joaquin Phoenix ,2020,Oscar
 Antonio Banderas ,2020,Oscar
 Leonardo DiCaprio ,2020,Oscar
 Adam Driver ,2020,Oscar
 Jonathan Pryce ,2020,Oscar
 Brad Pitt ,2020,Oscar
 Tom Hanks ,2020,Oscar
